발생월,시도,시군구,사망자수,중상자수,경상자수,부상신고자수,cnt_minor,cnt_serious,cnt_fatal,total_cnt,ratio_0,ratio_1,ratio_2
1.0,경기,가평군,5,46,190,6,196,46,5,247,0.7935222672064778,0.1862348178137652,0.020242914979757085
1.0,경기,고양시,17,508,2081,184,2265,508,17,2790,0.8118279569892473,0.182078853046595,0.0060931899641577065
1.0,경기,과천시,1,24,127,12,139,24,1,164,0.8475609756097561,0.14634146341463414,0.006097560975609756
1.0,경기,광명시,5,125,434,45,479,125,5,609,0.7865353037766831,0.20525451559934318,0.008210180623973728
1.0,경기,광주시,17,218,1098,83,1181,218,17,1416,0.8340395480225988,0.153954802259887,0.012005649717514125
1.0,경기,구리시,3,96,371,16,387,96,3,486,0.7962962962962963,0.19753086419753085,0.006172839506172839
1.0,경기,군포시,8,92,286,45,331,92,8,431,0.7679814385150812,0.21345707656612528,0.018561484918793503
1.0,경기,김포시,12,230,957,69,1026,230,12,1268,0.8091482649842271,0.18138801261829654,0.00946372239747634
1.0,경기,남양주시,15,237,1061,83,1144,237,15,1396,0.8194842406876791,0.16977077363896848,0.010744985673352435
1.0,경기,동두천시,3,37,171,9,180,37,3,220,0.8181818181818182,0.16818181818181818,0.013636363636363636
1.0,경기,부천시,10,361,1723,108,1831,361,10,2202,0.8315168029064487,0.1639418710263397,0.004541326067211626
1.0,경기,성남시,22,513,1916,201,2117,513,22,2652,0.798265460030166,0.19343891402714933,0.008295625942684766
1.0,경기,수원시,13,609,2671,243,2914,609,13,3536,0.8240950226244343,0.17222850678733032,0.003676470588235294
1.0,경기,시흥시,15,293,1204,108,1312,293,15,1620,0.8098765432098766,0.1808641975308642,0.009259259259259259
1.0,경기,안산시,14,415,1847,139,1986,415,14,2415,0.822360248447205,0.17184265010351968,0.005797101449275362
1.0,경기,안성시,10,158,488,103,591,158,10,759,0.7786561264822134,0.20816864295125165,0.013175230566534914
1.0,경기,안양시,13,196,684,43,727,196,13,936,0.7767094017094017,0.2094017094017094,0.013888888888888888
1.0,경기,양주시,8,143,551,35,586,143,8,737,0.7951153324287653,0.19402985074626866,0.010854816824966078
1.0,경기,양평군,2,75,208,23,231,75,2,308,0.75,0.2435064935064935,0.006493506493506494
1.0,경기,여주시,9,72,287,7,294,72,9,375,0.784,0.192,0.024
1.0,경기,연천군,4,27,87,3,90,27,4,121,0.743801652892562,0.2231404958677686,0.03305785123966942
1.0,경기,오산시,4,123,477,70,547,123,4,674,0.8115727002967359,0.1824925816023739,0.005934718100890208
1.0,경기,용인시,22,443,1886,211,2097,443,22,2562,0.8185011709601874,0.17291178766588602,0.00858704137392662
1.0,경기,의왕시,3,60,262,20,282,60,3,345,0.8173913043478261,0.17391304347826086,0.008695652173913044
